Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000002,Pumps - General,2,2021-05-31,80,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 4 (Normal): No work required beyond normal maintenance.,3,1. Negligible,COP-002,Cavendish Campus,Copland,Daniel Martinez,View
1000003,Cable and Track/Rail Based Safety Systems,9,2015-03-25,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000004,Cable and Track/Rail Based Safety Systems,4,2020-02-10,73,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,1. Negligible,NICB-002,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000005,Roof and Canopy Fall Protection Systems,3,2021-03-21,83,LOW,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,1,5. Severe,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000006,Fixed Access Ladders and Stairs,10,2013-08-16,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000007,Roof and Canopy Fall Protection Systems,4,2020-03-26,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,5. Severe,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000008,Roof and Canopy Fall Protection Systems,9,2014-12-19,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,5. Severe,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000009,Roof and Canopy Fall Protection Systems,4,2019-11-25,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,5. Severe,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000010,Fire Escape External Staircases,17,2006-08-18,76,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000011,Fixed Access Ladders and Stairs,13,2010-08-17,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,3. Moderate,NICB-003,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000012,Meter Reading - Gas,15,2008-11-14,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,COP-003,Cavendish Campus,Copland,Daniel Martinez,View
1000013,Solenoid Gas/Oil Shut-off (Safety) Valves,5,2018-12-02,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,COP-003,Cavendish Campus,Copland,Daniel Martinez,View
1000014,Water Booster Pumps,8,2016-02-10,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,COP-004,Cavendish Campus,Copland,Daniel Martinez,View
1000015,Web Slings,1,2022-10-16,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,RT-001,Regent Campus,309 Regent Street,Andrew Wright,View
